permalink,name,status,investors
"/company/bongiovi-medical-health-technologies",Bongiovi Medical & Health Technologies,operating,0
"/company/buzzdoes",BuzzDoes,operating,0
"/company/arbovax",Arbovax,operating,0
"/company/visitar",Visitar,operating,0
"/company/adr-sales-concepts",ADR Sales & Concepts,operating,0
"/company/chasm-io",Chasm.io (formerly Wahooly),operating,0
"/company/maxpreps",MaxPreps,acquired,0
"/company/soak-smart-operational-agricultural-toolkit",SOAK (Smart Operational Agricultural toolKit),operating,0
"/company/spensa-technologies",Spensa Technologies,operating,0
"/company/highground",HighGround,operating,0
"/company/thrupoint",Thrupoint,operating,0
"/company/eko-devices",Eko Devices,operating,0
"/company/palm",Palm,acquired,1
"/company/graze",Graze,operating,0
"/company/powercell-sweden",PowerCell Sweden,operating,0
"/company/telltale-games",Telltale Games,operating,3
"/company/eventcheq",Eventcheq,operating,0
"/company/novint-technologies",Novint Technologies,operating,0
"/company/pongr",Pongr,operating,0
"/company/arctrieval",Arctrieval,operating,0
"/company/rxi-pharmaceuticals",RXi Pharmaceuticals,ipo,0
"/company/arbor-plastic-technologies",Arbor Plastic Technologies,operating,0
"/company/sumoskinny",SumoSkinny,operating,0
"/company/efuneral",eFuneral,operating,0
"/company/sustainable-food-development",Sustainable Food Development,operating,0
"/company/archivas",Archivas,acquired,0
"/company/breather",Breather,operating,0
"/company/usmd",USMD,operating,0
"/company/adtonik",AdTonik,operating,0
"/company/proactify-com",Tapomat,operating,0
"/company/tgs-knee-innovations",TGS Knee Innovations,closed,0
"/company/heysan",Heysan,acquired,0
"/company/gigsky",GigSky,operating,0
"/company/uitv",UiTV,operating,0
"/company/sndax-pharmaceuticals",Syndax Pharmaceuticals,operating,2
"/company/privia-health",Privia Health,operating,0
"/company/fp-technology",FP Technology,operating,0
"/company/sonopia",Sonopia,operating,0
"/company/warby-parker",Warby Parker,operating,0
"/company/infoaxe",Infoaxe,operating,0
"/company/totaltakeout",TotalTakeout,operating,0
"/company/merrimack-pharmaceuticals",Merrimack Pharmaceuticals,ipo,0
"/company/scheduling-employee-scheduling-software",Scheduling Employee Scheduling Software,operating,0
"/company/dealtraction",DealTraction,operating,0
"/company/tlm-com",TLM Com,operating,1
"/company/zenfolio",Zenfolio,acquired,0
"/company/ariel-way",Ariel Way,closed,0
"/company/njoy",NJOY,operating,1
"/company/quantum-corp",Quantum,ipo,0
"/company/halscion",HALSCION,operating,0
"/company/sensable-technologies",SensAble Technologies,acquired,1
"/company/wayin",Wayin,operating,0
"/company/college-book-renter",College Book Renter,operating,0
"/company/classlink",ClassLink,operating,1
"/company/invi",invi,operating,0
"/company/taskdoers",Taskdoers,operating,0
"/company/thomsons-online-benefits",Thomsons Online Benefits,operating,0
"/company/clearcount-medical-solutions",ClearCount Medical Solutions,operating,0
"/company/pronai-therapeutics",ProNAi Therapeutics,operating,1
"/company/postdeck",Postdeck,closed,0
"/company/pacific-star-communications",Pacific Star Communications,operating,0
"/company/ikoa",iKoa,closed,0
"/company/simplifymd",simplifyMD,operating,0
"/company/cinelan",Cinelan,operating,0
"/company/retail-info",Retail Info,operating,0
"/company/proxy-technologies",Proxy Technologies,operating,0
"/company/online-warmongers",Online Warmongers,operating,0
"/company/affinityclick",AffinityClick,operating,0
"/company/filmbreak",FilmBreak,operating,0
"/company/yeti-group",YETI Group,operating,0
"/company/nlife-therapeutics",nLife Therapeutics,operating,0
"/company/bsafe-2",bSafe,operating,0
"/company/one-month-rails",One Month Rails,operating,0
"/company/the-electric-sheep",The Electric Sheep,operating,0
"/company/prospero-biosciences",Prospero BioSciences,operating,0
"/company/surfly",Surfly,operating,0
"/company/birch-tree-medical",Birch Tree Medical,operating,0
"/company/oree",Oree,operating,0
"/company/shareyourcart-2",ShareYourCart,acquired,0
"/company/navigat-group",Navigat Group,operating,0
"/company/dmi-life-sciences-inc","DMI Life Sciences, Inc.",operating,0
"/company/shodogg",Shodogg,operating,0
"/company/sky-frequency",Sky Frequency,operating,0
"/company/posibl",Posibl.,operating,0
"/company/9mile-labs",9Mile Labs,operating,0
"/company/buyanihan",Buyanihan,operating,0
"/company/profitbase-na",ProfitBase NA,operating,0
"/company/virident-systems",Virident Systems,acquired,7
"/company/empower-rf-systems",Empower RF Systems,operating,0
"/company/opencounter",OpenCounter,operating,0
"/company/calabrio",Calabrio,operating,1
"/company/insero-health",Insero Health,operating,0
"/company/linkstorm",LinkStorm,operating,1
"/company/finalta",Finalta,operating,0
"/company/pongo-resume",Pongo Resume,operating,0
"/company/prieto-battery",Prieto Battery,operating,0
"/company/corridor-pharmaceuticals",Corridor Pharmaceuticals,operating,0
"/company/pin-digital-2",Pin-Digital,operating,0
"/company/alleywatch",AlleyWatch,operating,0
"/company/hyperactive-media-gmbh",Hyperactive Media,operating,0
