permalink,name,status,founded_year,investor_permalink,funded_year
"/company/1366-technologies",1366 Technologies,operating,2007.0,/company/tokuyama,2013.0
"/company/1366-technologies",1366 Technologies,operating,2007.0,/financial-organization/energy-technology-ventures,2013.0
"/company/1c-company",1C Company,operating,1991.0,/financial-organization/baring-vostok-capital-partners,2011.0
"/company/1life-healthcare",1Life Healthcare,operating,2002.0,/financial-organization/benchmark-2,2013.0
"/company/1life-healthcare",1Life Healthcare,operating,2002.0,/financial-organization/dag-ventures,2013.0
"/company/1life-healthcare",1Life Healthcare,operating,2002.0,/financial-organization/google-ventures,2013.0
"/company/1stdibs",1stdibs,operating,2001.0,/company/alibaba,2014.0
"/company/1stdibs",1stdibs,operating,2001.0,/financial-organization/benchmark-2,2012.0
"/company/1stdibs",1stdibs,operating,2001.0,/financial-organization/benchmark-2,2011.0
"/company/1stdibs",1stdibs,operating,2001.0,/financial-organization/index-ventures,2012.0
"/company/21cake-food-co",21Cake Food Co.,operating,2004.0,/financial-organization/legend-capital,2010.0
"/company/23andme",23andMe,operating,2006.0,/financial-organization/google-ventures,2012.0
"/company/23andme",23andMe,operating,2006.0,/financial-organization/google-ventures,2012.0
"/company/247-learning-private",24x7 Learning,operating,2001.0,/financial-organization/capital18,2007.0
"/company/2c2p",2C2P,operating,2008.0,/company/gmo-venturepartners-inc,2014.0
"/company/2-minutes",2 Minutes,operating,2000.0,/financial-organization/alliance-entreprendre,2008.0
"/company/2-minutes",2 Minutes,operating,2000.0,/financial-organization/galia-gestion,2008.0
"/company/2ndnature-2",2NDNATURE,operating,2004.0,/financial-organization/better-ventures,2013.0
"/company/3scale",3scale,operating,2007.0,/financial-organization/costanoa-venture-capital,2013.0
"/company/3scale",3scale,operating,2007.0,/financial-organization/javelin-venture-partners,2013.0
"/company/3tier-environmental-forecast-group",3TIER,acquired,1999.0,/financial-organization/good-energies,2008.0
"/company/3tier-environmental-forecast-group",3TIER,acquired,1999.0,/financial-organization/good-energies,2007.0
"/company/3vr-security",3VR,operating,2002.0,/financial-organization/kleiner-perkins-caufield-byers,2013.0
"/company/41st-parameter",41st Parameter,acquired,2004.0,/financial-organization/georgian-partners,2012.0
"/company/41st-parameter",41st Parameter,acquired,2004.0,/financial-organization/jafco-ventures,2012.0
"/company/41st-parameter",41st Parameter,acquired,2004.0,/financial-organization/kleiner-perkins-caufield-byers,2012.0
"/company/4info",4INFO,operating,2004.0,/company/gannett,2011.0
"/company/4info",4INFO,operating,2004.0,/financial-organization/draper-fisher-jurvetson,2013.0
"/company/4info",4INFO,operating,2004.0,/financial-organization/draper-fisher-jurvetson,2013.0
"/company/4info",4INFO,operating,2004.0,/financial-organization/draper-fisher-jurvetson,2011.0
"/company/4info",4INFO,operating,2004.0,/financial-organization/gannet-capital,2013.0
"/company/4moms",4moms,operating,2005.0,/financial-organization/bain-capital-ventures,2012.0
"/company/500px",500px,operating,2004.0,/company/creative-artists-agency,2013.0
"/company/500px",500px,operating,2004.0,/financial-organization/andreessen-horowitz,2013.0
"/company/500px",500px,operating,2004.0,/financial-organization/deep-creek-capital,2011.0
"/company/500px",500px,operating,2004.0,/financial-organization/ff-venture-capital,2013.0
"/company/500px",500px,operating,2004.0,/financial-organization/ff-venture-capital,2011.0
"/company/500px",500px,operating,2004.0,/financial-organization/harrison-metal-capital,2013.0
"/company/500px",500px,operating,2004.0,/financial-organization/high-line-venture-partners,2011.0
"/company/7k7k-com",7k7k.com,operating,2003.0,/financial-organization/ggv-capital,2010.0
"/company/800app",800APP,operating,2004.0,/company/salesforce,2011.0
"/company/a123systems",A123 Systems,ipo,2001.0,/company/general-electric,2009.0
"/company/a123systems",A123 Systems,ipo,2001.0,/company/general-electric,2007.0
"/company/a123systems",A123 Systems,ipo,2001.0,/company/massachusetts-institute-of-technology-mit,2007.0
"/company/a123systems",A123 Systems,ipo,2001.0,/company/motorola-solutions,2007.0
"/company/a123systems",A123 Systems,ipo,2001.0,/company/procter-and-gamble,2007.0
"/company/a123systems",A123 Systems,ipo,2001.0,/company/qualcomm,2007.0
"/company/a123systems",A123 Systems,ipo,2001.0,/financial-organization/alliance-capital-ventures,2007.0
"/company/a123systems",A123 Systems,ipo,2001.0,/financial-organization/espirito-santo-ventures,2009.0
