permalink,name,status,founded_year,investor_permalink,funded_year
"/company/0-6-com",0-6.com,operating,2007.0,,
"/company/0xdata",0xdata,operating,2011.0,,
"/company/1",One Inc.,operating,2011.0,,
"/company/1000jobboersen-de",1000jobboersen.de,operating,,,
"/company/1000memories",1000memories,acquired,2010.0,,
"/company/1000museums-com",1000museums.com,operating,2008.0,,
"/company/1001-menus",1001 Menus,operating,2010.0,,
"/company/100du-tv",100du.tv,operating,,,
"/company/100e-com",100e.com,operating,,,
"/company/100plus",100Plus,acquired,2011.0,,
"/company/1010data",1010data,operating,2000.0,,
"/company/10-20-media",10-20 Media,operating,2001.0,,
"/company/10bestthings",10BestThings,closed,2009.0,,
"/company/10x10-room",10X10 Room,operating,2010.0,,
"/company/10x-technologies",10X Technologies,operating,2012.0,,
"/company/121cast",121cast,operating,2012.0,,
"/company/1234enter",1234ENTER,operating,2012.0,,
"/company/123contactform",123ContactForm,operating,2008.0,,
"/company/12society",12Society,acquired,2012.0,,
"/company/1366-technologies",1366 Technologies,operating,2007.0,/company/tokuyama,2013.0
"/company/1366-technologies",1366 Technologies,operating,2007.0,/financial-organization/energy-technology-ventures,2013.0
"/company/139shop",139shop,operating,,,
"/company/13th-lab",13th Lab,operating,2010.0,,
"/company/140fire",140Fire,operating,2010.0,,
"/company/140-proof",140 Proof,operating,2010.0,,
"/company/15five",15Five,operating,2011.0,,
"/company/15minutesnow",15MinutesNOW,operating,2011.0,,
"/company/169-st",169 ST.,closed,2009.0,,
"/company/170-systems",170 Systems,acquired,1990.0,,
"/company/1-800-doctors",1-800-DOCTORS,operating,1984.0,,
"/company/1bib",1bib,closed,2006.0,,
"/company/1bog",One Block Off the Grid (1BOG),acquired,2008.0,,
"/company/1calendar",1calendar,operating,2009.0,,
"/company/1cast",1Cast,closed,2006.0,,
"/company/1c-company",1C Company,operating,1991.0,/financial-organization/baring-vostok-capital-partners,2011.0
"/company/1click",1CLICK,operating,2012.0,,
"/company/1cloudstar-asia",CloudStar Asia,operating,2012.0,,
"/company/1daylater",1DayLater,operating,2009.0,,
"/company/1daymakeover",1DayMakeover,closed,2008.0,,
"/company/1energy-systems",1Energy Systems,operating,2010.0,,
"/company/1eq",1eq,operating,2012.0,,
"/company/1life-healthcare",1Life Healthcare,operating,2002.0,/financial-organization/benchmark-2,2013.0
"/company/1life-healthcare",1Life Healthcare,operating,2002.0,/financial-organization/dag-ventures,2013.0
"/company/1life-healthcare",1Life Healthcare,operating,2002.0,/financial-organization/google-ventures,2013.0
"/company/1o1media",1o1Media,operating,,,
"/company/1ring",1Ring,operating,2009.0,,
"/company/1sdk",1SDK,operating,2012.0,,
"/company/1stdibs",1stdibs,operating,2001.0,/company/alibaba,2014.0
"/company/1stdibs",1stdibs,operating,2001.0,/financial-organization/benchmark-2,2012.0
"/company/1stdibs",1stdibs,operating,2001.0,/financial-organization/benchmark-2,2011.0
"/company/1stdibs",1stdibs,operating,2001.0,/financial-organization/index-ventures,2012.0
"/company/1stgig-com",1stGig.com,operating,2009.0,,
"/company/1world-online",1World Online,operating,2011.0,,
"/company/20-20-mobile",20:20 Mobile,operating,2006.0,,
"/company/2080-media",2080 Media,operating,2008.0,,
"/company/20jeans",Twenty Jeans,operating,2012.0,,
"/company/20x200",20x200,operating,2007.0,,
"/company/21cake-food-co",21Cake Food Co.,operating,2004.0,/financial-organization/legend-capital,2010.0
"/company/21e6",2.10E+07,operating,2013.0,,
"/company/21grams",21GRAMS,operating,,,
"/company/21vianet",21viaNet,ipo,,,
"/company/22nd-century-group",22nd Century Group,ipo,1998.0,,
"/company/2345-com",2345.com,operating,,,
"/company/23andme",23andMe,operating,2006.0,/financial-organization/google-ventures,2012.0
"/company/23andme",23andMe,operating,2006.0,/financial-organization/google-ventures,2012.0
"/company/23press",23press,operating,2011.0,,
"/company/24-7-card",24/7 Card,closed,,,
"/company/247-learning-private",24x7 Learning,operating,2001.0,/financial-organization/capital18,2007.0
"/company/247-techies",247 Techies,operating,,,
"/company/24-media-network",24 Media Network,operating,,,
"/company/24pagebooks",24PageBooks,closed,,,
"/company/250ok",250ok,operating,2012.0,,
"/company/25eight",25eight,closed,,,
"/company/27-perry",27 Perry,closed,2012.0,,
"/company/280-north",280 North,acquired,,,
"/company/28msec",28msec,operating,2008.0,,
"/company/2c2p",2C2P,operating,2008.0,/company/gmo-venturepartners-inc,2014.0
"/company/2can",2can,operating,2012.0,,
