permalink,name,status,investors
"/company/novasentis",Novasentis,operating,1
"/company/shopatron",Shopatron,operating,2
"/company/turbocoating",Turbocoating,operating,2
"/company/sojern",Sojern,operating,2
"/company/weemo",Weemo,operating,1
"/company/barnes-noble",Barnes & Noble,ipo,1
"/company/bdna",BDNA,operating,2
"/company/palm",Palm,acquired,1
"/company/barosense",Barosense,operating,4
"/company/ganymed-pharmaceuticals",Ganymed Pharmaceuticals,operating,2
"/company/clearedge-power",ClearEdge Power,operating,6
"/company/telltale-games",Telltale Games,operating,3
"/company/ftrans",FTRANS,operating,1
"/company/managed-objects",Managed Objects,acquired,5
"/company/sharethis",ShareThis,operating,7
"/company/zytoprotec",Zytoprotec,operating,1
"/company/cell-medica",Cell Medica,operating,2
"/company/xifin",XIFIN,operating,2
"/company/xlerant",XLerant,operating,2
"/company/deepflex",DeepFlex,operating,3
"/company/nistica",Nistica,operating,3
"/company/transgaming",TransGaming,operating,1
"/company/unitask",Unitask,operating,2
"/company/sndax-pharmaceuticals",Syndax Pharmaceuticals,operating,2
"/company/quantec-geoscience",Quantec Geoscience,operating,1
"/company/sonics",Sonics,operating,1
"/company/musicgremlin",MusicGremlin,acquired,2
"/company/byallaccounts",ByAllAccounts,operating,2
"/company/kaazing",Kaazing,operating,1
"/company/mythings",myThings,operating,3
"/company/tlm-com",TLM Com,operating,1
"/company/cinedigm",Cinedigm,operating,1
"/company/liveu",LiveU,operating,3
"/company/arcot-systems",Arcot Systems,acquired,8
"/company/njoy",NJOY,operating,1
"/company/sensable-technologies",SensAble Technologies,acquired,1
"/company/classlink",ClassLink,operating,1
"/company/datto",Datto,operating,1
"/company/ava-ai",AVA.ai,operating,1
"/company/osprey-pharmaceuticals-usa",Osprey Pharmaceuticals USA,operating,7
"/company/achilles-group",Achilles Group,operating,2
"/company/pronai-therapeutics",ProNAi Therapeutics,operating,1
"/company/vfa",VFA,operating,1
"/company/pearl-systems",Brightpearl,operating,1
"/company/metricstream",MetricStream,operating,4
"/company/equiom-inc",Equiom,operating,1
"/company/planview",Planview,operating,1
"/company/dreambox-learning",DreamBox Learning,operating,3
"/company/neoedge-networks",NeoEdge Networks,acquired,1
"/company/liquidia-technologies",Liquidia Technologies,operating,5
"/company/transcend-medical",Transcend Medical,operating,6
"/company/hostway",Hostway,operating,1
"/company/talentsoft",TalentSoft,operating,2
"/company/1366-technologies",1366 Technologies,operating,2
"/company/luminus-devices",Luminus Devices,acquired,4
"/company/virident-systems",Virident Systems,acquired,7
"/company/harmony-information-systems",Harmony Information Systems,operating,3
"/company/the-otherland-group",The Otherland Group,operating,1
"/company/ciris-energy",Ciris Energy,operating,1
"/company/globeecom-international",Globeecom International,operating,1
"/company/acousticeye",Acousticeye,operating,2
"/company/network-hardware-resale",Network Hardware Resale,operating,1
"/company/cardiosolutions",Cardiosolutions,operating,1
"/company/nitrosecurity",NitroSecurity,acquired,8
"/company/endeavor-commerce",Endeavor Commerce,operating,1
"/company/calabrio",Calabrio,operating,1
"/company/linkstorm",LinkStorm,operating,1
"/company/tissuetech",Tissuetech,operating,1
"/company/labcyte",Labcyte,operating,7
"/company/adamas-pharmaceuticals",Adamas Pharmaceuticals,operating,2
"/company/hatteras-networks",Hatteras Networks,acquired,4
"/company/zenverge",Zenverge,operating,8
"/company/ecovative-designs",Ecovative Design,operating,2
"/company/nautilus-biotech",Nautilus Biotech,operating,6
"/company/phorm",Phorm,ipo,2
"/company/23andme",23andMe,operating,2
"/company/bullguard",BullGuard,operating,1
"/company/applied-predictive-technologies",Applied Predictive Technologies,operating,1
"/company/mct-danismanlik-as-mctas-istanbul",MCT Danismanlik AS (MCTAS: Istanbul),operating,1
"/company/planitax",Planitax,acquired,4
"/company/fitbit",Fitbit,operating,1
"/company/rapidminer",RapidMiner,operating,1
"/company/monteris-medical",Monteris Medical,operating,5
"/company/lexar-media",Lexar Media,operating,2
"/company/tio-networks",TIO Networks,operating,1
"/company/shenzhen-jucheng-enterprise-management-consulting-co",Shenzhen Jucheng Enterprise Management Consulting Co,operating,2
"/company/andigilog",Andigilog,closed,2
"/company/neurologix",Neurologix,operating,2
"/company/envie-de-fraises",Envie de Fraises,operating,2
"/company/crossfiber",CrossFiber,operating,1
"/company/hurix-systems-private",Hurix Systems Private,operating,1
"/company/islanddatacorporation",Overtone,acquired,6
"/company/similarweb",SimilarGroup,operating,1
"/company/witricity",WiTricity,operating,2
"/company/shuttercal",ShutterCal,operating,1
"/company/acacia-research",Acacia Research,ipo,1
"/company/glassdoor",Glassdoor,operating,4
"/company/agrisoma-biosciences",Agrisoma Biosciences,operating,3
"/company/acumen-holdings",Acumen Holdings,operating,7
"/company/cymabay-therapeutics",CymaBay Therapeutics,operating,13
